UK_Omeka;dcterms:creator;dcterms:abstract
473;Rigo, Jules;Paris, 1810-?, 1892
474;Rivey, Arsène;Caen, 1838-Paris, 1903
475;Rivoulon, Antoine;Cusset, 1810-Paris, 1864
476;Rixens, Jean-André;Saint Gaudens, 1846-Paris, 1923
477;Robert, Léo-Paul;Ried, 1851-Paris, 1923
478;Robert-Fleury, Tony;Paris, 1837-Paris, 1912
479;Robie, Jean;Buxelles, 1821-Saint Gilles, 1910
480;Robinet, Paul;Magny Vernois, 1845-?, 1923
481;Roche, Alexandre;Paris, 1823-?, 1878
482;Roehn, Alphonse-Jean;Paris, 1799-Paris, 1864
483;Rodakowski, Henryk;Lviv, 1823-Cracovie, 1894
484;Rodriguez Barcaza, Ramón;Cadiz, 1820-Cadiz, 1892
485;Roll, Alfred;Paris, 1846-Paris, 1919
486;Romagny, Charles-Ernest;Mello, 1828-Paris, 1858
487;Ronot, Charles;Belan sur Ource, 1820-Dijon, 1895
488;Rosier, Amédée;Meaux, 1831-?, 1898
489;Rouffio, Paul;Marseille, 1847-Viroflay, 1911
490;Rougeron, Jules-James;Gevrey Chambertin, 1841-Paris, 1880
491;Rousseau, Théodore;Paris, 1812-Barbizon, 1867
492;Roux, Louis;Paris, 1817-Paris, 1903
493;Roybet, Ferdinand;Uzès, 1840-Paris, 1920
494;Rozier, Dominique;Paris, 1840-Paris, 1901
495;Saal, Georg;Coblence, 1818-Baden-Baden, 1870
496;Sain, Édouard;Cluny, 1830-Paris, 1910
497;Saintin, Jules;Lemée, 1829-Paris, 1894
498;Saint-Pierre, Gaston;Nîmes, 1833-Paris, 1916
499;Salmson, Hugo;Stockolm, 1844-Lund, 1894
500;Sarazin de Belmont, Louise-Joséphine;Versailles, 1790-Paris, 1870
501;Sautai, Paul-Émile;Amiens, 1842-Paris, 1901
502;Schenck, August;Glückstadt, 1828-Ecouen, 1901
503;Schneider, Félicie;Saint Cloud, 1831-?, 1888
504;Schreyer, Adolf;Francfort, 1828-Cronberg, 1899
505;Schutzenberger, Louis;Strasbourg, 1825-Strasbourg, 1903
506;Ségé, Alexandre;Paris, 1818-Coubron, 1885
507;Sellier, Charles;Nancy, 1830-Nancy, 1882
508;Servin, Amédée;Paris, 1829-Villiers sur Morin, 1884
509;Sohn, Wilhelm;Berlin, 1830-Bonn, 1899
510;Sorieul, Jean;Rouen, 1824-Rouen, 1871
511;Soyer, Paul;Paris, 1823-Ecouen, 1903
512;Stevens, Joseph;Bruxelles, 1816-Bruxelles, 1892
513;Stevens, Alfred;Bruxelles, 1823-Paris, 1906
514;Sturel, Octavie;Metz, 1819-Metz, 1854
515;Sylvestre, Joseph;Béziers, 1847-Paris, 1926
516;Tabar, Léopold;Paris, 1818-Argenteuil, 1869
517;Tassaert, Octave;Paris, 1800-Paris, 1874
518;Thévenin, Rosalie;Lyon, ?-Paris, 1892
519;Thirion, Eugène;Paris, 1839-Paris, 1910
520;Timbal, Louis-Charles;Paris, 1821-Paris, 1880
521;Tissier, Ange;Paris, 1814-Nice, 1876
522;Tissot, James;Nantes, 1836-Buillon, 1902
523;Torrents, Stanislas;Marseille, 1839-Cannes, 1916
524;Toudouze, Édouard;Paris, 1848-Paris, 1907
525;Toulmouche, Auguste;Nantes, 1829-Nantes, 1890
526;Tourny, Joseph;Paris, 1817-Montpellier, 1880
527;Trayer, Jean-Baptiste-Jules;Metz, 1824-?, 1908
528;Ulmann, Benjamin;Blotzheim, 1829-Paris, 1884
529;Valadon, Jules-Emmanuel;Paris, 1826-Paris, 1900
530;Haanen, Cecil-Charles van;Vienne, 1844-Vienne, 1914
531;Van Hove, Victor;Ronse, 1826-Bruxelles, 1891
532;Marcke, Émile van;Sèvres, 1827-Hyères, 1890
533;Moer, Jean-Baptiste van;Bruxelles, 1819-Bruxelles, 1884
534;Muyden, Alfred van;Lausanne, 1818-Champel, 1898
535;Vannutelli, Scipione;Rome, 1834-Rome, 1894
536;Vauchelet, Théophile;Passy, 1802-Paris, 1873
537;Vautier, Benjamin;Morges, 1829-Düsseldorf, 1898
538;Vayson, Paul;Gordes, 1841-Paris, 1911
539;Vély, Anatole;Ronsoy, 1838-Paris, 1882
540;Verlat, Charles;Anvers, 1824-Anvers, 1890
541;Vernier, Émile-Louis;Lons le Saunier, 1829-Paris, 1887
542;Verwée, Alfred;Saint Josse ten Node, 1838-Scharbeek, 1895
543;Veyrassat, Jules Jacques;Paris, 1828-Paris, 1893
544;Vibert, Jehan-Georges;Paris, 1840-Paris, 1902
545;Vignon, Jules;Belfort, 1815-Paris, 1885
546;Viollet-le-Duc, Adolphe-Étienne;Paris, 1817-Paris, 1878
547;Voillemot, Charles;Paris, 1822-Paris, 1893
548;Vollon, Antoine;Lyon, 1833-Paris, 1900
549;Heyden, August von;Breslau, 1827-Berlin, 1897
550;Thoren, Otto von;Vienne, 1828-Paris, 1889
551;Vuillefroy, Félix de;Paris, 1841-?, 1910
552;Wagrez, Jacques;Paris, 1846-Paris, 1908
553;Wahlberg, Alfred;Stockholm, 1834-Tranas, 1906
554;Watelin, Louis-Victor;Paris, 1835-Paris, 1907
555;Wauters, Émile;Bruxelles, 1846-Paris, 1933
556;Weber, Otto;Berlin, 1832-Londres, 1888
557;Weber, Adolphe;Boulay-Moselle, 1842-?, 1883
558;Weerts, Jean-Joseph;Roubaix, 1846-Paris, 1927
559;Weisz, Adolphe;Budapest, 1838-?, 1904
560;Wencker, Joseph;Strasbourg, 1848-Paris, 1919
561;Winne, Liévin de;Gand, 1821-Bruxelles, 1880
562;Worms, Jules;Paris, 1835-Paris, 1914
563;Wylie, Robert;Isle of Man, 1839-Pont Aven, 1877
564;Yon, Edmond;Paris, 1836-Paris, 1897
565;Yvon, Adolphe;Eschweiler, 1817-Paris, 1893
566;Zac, Tony;Vienne, ?-?, ?
567;Zamacois, Eduardo;Bilbao, 1841-Madrid, 1871
568;Ziem, Félix;Beaune, 1821-Paris, 1911
569;Zo, Achille;Bayonne, 1826-Bordeaux, 1901
570;Zuber, Jean-Henri;Rixheim, 1844-Paris, 1904
571;Achard, Jean-Alexis;Voreppe, 1807-Grenoble, 1884
572;Apoil, Estelle;Sèvres, 1825-?, 1892
573;Baron, Henri;Besançon, 1816-Genève, 1885
574;Béranger, Jean-Baptiste;Sèvres, 1814-Paris, 1883
575;Herbelin, Mathilde;Brunoy, 1820-Paris, 1904
576;Bianchi, Nina;?, ?-?, ?
577;Biard, François-Auguste;Lyon, 1798-Fontainebleau, 1886
578;Bida, Alexandre;Toulouse, 1813-Lautenbach, 1895
579;Bonheur, Rosa;Bordeaux, 1822-By, 1899
580;Bouquet, Michel;Lorient, 1807-Paris, 1890
581;Brune, Adolphe;Paris, 1802-Paris, 1880
582;Buttura, Eugène-Ferdinand;Paris, 1812-Paris, 1852
583;Chacaton, Henri de;Chézy, 1813-?, 1886
584;Coignard, Louis;Mayenne, 1812-Paris, 1883
585;Coignet, Jules;Paris, 1798-Paris, 1860
586;Corot, Camille;Paris, 1796-Paris, 1875
587;Dauzats, Adrien;Bordeaux, 1804-Paris, 1868
588;David, Maxime;Chalons en Champagne, 1798-Paris, 1870
589;Dedreux, Alfred;Paris, 1810-Paris, 1860
590;Debon, Hippolyte;Paris, 1807-Paris, 1872
591;Delacroix, Eugène;Charenton St Maurice, 1798-Paris, 1863
592;Desgoffe, Alexandre;Paris, 1805-Paris, 1882
593;Díaz de la Peña, Narcisse;Bordeaux, 1807-Menton, 1876
594;Dien, Claude-Marie-François;Paris, 1787-Paris, 1865
595;Duvaux, Antoine-Jules;Bordeaux, 1818-Paris, 1884
596;Fauvelet, Jean;Bordeaux, 1819-Chartres, 1883
597;Flandrin, Hippolyte;Lyon, 1809-Rome, 1864
598;Flandrin, Paul;Lyon, 1811-Paris, 1902
599;Français, François-Louis;Plombières les Bains, 1814-Paris, 1897
600;Gigoux, Jean;Besançon, 1806-Paris, 1894
601;Giroux, Achille;Mortagne au Perche, 1816-Damazan, 1854
602;Glaize, Auguste;Montpellier, 1807-Paris, 1893
603;Grönland, Theude;Altona (Hambourg), 1817-Berlin, 1876
604;Gudin, Théodore;Paris, 1802-Paris, 1880
605;Hesse, Alexandre;Paris, 1806-Paris, 1879
606;Hildebrandt, Frédéric;Danzig, 1819-Rome, 1855
607;Hoguet, Charles;Berlin, 1821-Berlin, 1870
608;Huet, Paul;Paris, 1803-Paris, 1869
609;Jadin, Godefroy;Paris, 1805-Paris, 1882
610;Johannot, Tony;Offenbach, 1803-Paris, 1852
611;Joyant, Jules;Paris, 1803-Paris, 1854
612;Lacroix, Gaspard;Turin, 1810-Paris, 1878
613;Landelle, Charles;Laval, 1821-Chennevières sur Marne, 1908
614;Laurent, Marie Pauline;Paris, 1805-Paris, 1860
615;Lepoittevin, Eugène;Paris, 1806-Paris, 1870
616;Lehmann, Henri;Kiel, 1814-Paris, 1882
617;Longchamp, Henriette de;Saint Dizier, 1814-Paris, 1887
618;Masquelier, Claude-Louis;Paris, 1781-?, 1852
619;Meissonier, Ernest;Lyon, 1815-Paris, 1891
620;Morel-Fatio, Léon;Rouen, 1810-Paris, 1871
621;Müller, Charles Louis;Paris, 1815-Paris, 1892
622;Nanteuil, Célestin;Rome, 1813-Bourron-Marlotte, 1873
623;Palizzi, Giuseppe;Lanciano, 1812-Paris, 1888
624;Passot, Gabriel-Aristide;Nevers, 1797-Paris, 1875
625;Penguilly-L'Haridon, Octave;Paris, 1811-Paris, 1870
626;Pignerolle, Charles-Marcel de;Angers, 1815-Angers, 1893
627;Pilliard, Jacques;Vienne, 1814-Rome, 1898
628;Place, Henri;Paris, 1812-?, 1855
629;Pommayrac, Pierre-Paul de;Puerto Rico, 1807-Paris, 1880
630;Richaud, Joseph;Aix en Provence, 1812-?, ?
631;Rousseau, Philippe;Paris, 1816-Acquigny, 1887
632;Rudder, Louis-Henri de;Paris, 1807-Paris, 1881
633;Sebron, Hippolyte;Caudebec en Caux, 1804-Paris, 1879
634;Steinheil, Louis;Strasbourg, 1814-Paris, 1885
635;Thuillier, Pierre;Amiens, 1799-Paris, 1858
636;Troyon, Constant;Sèvres, 1810-Paris, 1865
637;Verdier, Marcel;Paris, 1817-Paris, 1856
638;Vetter, Hégésippe-Jean;Paris, 1820-?, 1900
639;Ziegler, Jules;Langres, 1804-Paris, 1856
640;Vidal, Vincent;Carcassonne, 1811-Paris, 1887
641;Robert, Victor;Le Puy en Velay, 1813-Lavoute sur Loire, 1888
642;Dubois, Hippolyte;Nantes, 1837-Samoëns, 1909
643;Cazin, Jean-Charles;Samer, 1841-Le Lavandou, 1901
644;Bénouville, Achille;Paris, 1815-Paris, 1891
645;Couder, Auguste;Londres, 1790-?, ?
646;Bellel, Jean-Joseph;Paris, 1816-Paris, 1898
647;Mirbel, Lizinska de;Paris, 1796-Cherbourg, 1849
648;Gallait, Louis;Tournai, 1810-Schaerbeek, 1887
649;Guignet, Adrien;Annecy, 1816-Paris, 1854
650;Malathier, André;?, ?-Paris, 1852
651;Jadelot, Sophie;Metz, 1820-?, ?
