Certainty,Exposant,Match,Titre
100,"Dehodencq, Alfred","Dehodencq, Alfred",44
100,"Delacroix, Eugène","Delacroix, Eugène",61
100,"Delacroix, Henri-Eugène","Delacroix, Henri-Eugène",5
100,"Delaunay, Jules","Delaunay, Jules",2
100,"Delort, Charles","Delort, Charles",4
100,"Demont, Adrien-Louis","Demont, Adrien-Louis",5
100,"Denneulin, Jules","Denneulin, Jules",17
100,"Deschamps, Louis","Deschamps, Louis",9
100,"Desgoffe, Alexandre","Desgoffe, Alexandre",41
100,"Desgoffe, Blaise","Desgoffe, Blaise",28
100,"Desjobert, Louis-Eugène","Desjobert, Louis-Eugène",6
100,"Destrem, Casimir","Destrem, Casimir",9
100,"Devers, Joseph","Devers, Joseph",38
100,"Devilly, Théodore","Devilly, Théodore",5
100,"Didier, Jules","Didier, Jules",38
100,"Dien, Claude-Marie-François","Dien, Claude-Marie-François",1
100,"Doucet, Lucien","Doucet, Lucien",6
100,"Douillard, Alexis-Marie-Louis","Douillard, Alexis-Marie-Louis",19
100,"Dubasty, Adolphe-Henri","Dubasty, Adolphe-Henri",56
100,"Dubois, Hippolyte","Dubois, Hippolyte",23
100,"Dubois, Paul","Dubois, Paul",13
100,"Duez, Ernest-Ange","Duez, Ernest-Ange",8
100,"Dumas, Michel","Dumas, Michel",26
100,"Dupain, Edmond","Dupain, Edmond",3
100,"Dupray, Henry-Louis","Dupray, Henry-Louis",5
100,"Dupré, Julien","Dupré, Julien",6
100,"Dupré, Victor","Dupré, Victor",12
100,"Duran, Carolus","Duran, Carolus",33
100,"Durand, Simon","Durand, Simon",11
100,"Duvaux, Antoine-Jules","Duvaux, Antoine-Jules",19
100,"Duveau, Louis","Duveau, Louis",12
100,"Duverger, Théophile-Emmanuel","Duverger, Théophile-Emmanuel",39
100,"Edelfelt, Albert","Edelfelt, Albert",5
100,"Ehrmann, François","Ehrmann, François",13
100,"Faivre, Tony","Faivre, Tony",24
100,"Falguière, Alexandre","Falguière, Alexandre",4
100,"Fantin-Latour, Henri","Fantin-Latour, Henri",2
100,"Faruffini, Federico","Faruffini, Federico",4
100,"Faure, Eugène","Faure, Eugène",38
100,"Fauvelet, Jean","Fauvelet, Jean",28
100,"Ferrier, Gabriel","Ferrier, Gabriel",7
100,"Feyen, Eugène","Feyen, Eugène",37
